year,state,month,number,date,sigla,Longitude,Latitude
1998,Acre,Janeiro,0.0,1998-01-01,AC,-9.49865,-69.629581
1999,Acre,Janeiro,0.0,1999-01-01,AC,-9.49865,-69.629581
2000,Acre,Janeiro,0.0,2000-01-01,AC,-9.49865,-69.629581
2001,Acre,Janeiro,0.0,2001-01-01,AC,-9.49865,-69.629581
2002,Acre,Janeiro,0.0,2002-01-01,AC,-9.49865,-69.629581
2003,Acre,Janeiro,10.0,2003-01-01,AC,-9.49865,-69.629581
2004,Acre,Janeiro,0.0,2004-01-01,AC,-9.49865,-69.629581
2005,Acre,Janeiro,12.0,2005-01-01,AC,-9.49865,-69.629581
2006,Acre,Janeiro,4.0,2006-01-01,AC,-9.49865,-69.629581
2007,Acre,Janeiro,0.0,2007-01-01,AC,-9.49865,-69.629581
2008,Acre,Janeiro,0.0,2008-01-01,AC,-9.49865,-69.629581
2009,Acre,Janeiro,0.0,2009-01-01,AC,-9.49865,-69.629581
2010,Acre,Janeiro,1.0,2010-01-01,AC,-9.49865,-69.629581
2011,Acre,Janeiro,0.0,2011-01-01,AC,-9.49865,-69.629581
2012,Acre,Janeiro,0.0,2012-01-01,AC,-9.49865,-69.629581
2013,Acre,Janeiro,0.0,2013-01-01,AC,-9.49865,-69.629581
2014,Acre,Janeiro,0.0,2014-01-01,AC,-9.49865,-69.629581
2015,Acre,Janeiro,1.0,2015-01-01,AC,-9.49865,-69.629581
2016,Acre,Janeiro,12.0,2016-01-01,AC,-9.49865,-69.629581
2017,Acre,Janeiro,0.0,2017-01-01,AC,-9.49865,-69.629581
1998,Acre,Fevereiro,0.0,1998-01-01,AC,-9.49865,-69.629581
1999,Acre,Fevereiro,0.0,1999-01-01,AC,-9.49865,-69.629581
2000,Acre,Fevereiro,0.0,2000-01-01,AC,-9.49865,-69.629581
2001,Acre,Fevereiro,0.0,2001-01-01,AC,-9.49865,-69.629581
2002,Acre,Fevereiro,1.0,2002-01-01,AC,-9.49865,-69.629581
2003,Acre,Fevereiro,0.0,2003-01-01,AC,-9.49865,-69.629581
2004,Acre,Fevereiro,3.0,2004-01-01,AC,-9.49865,-69.629581
2005,Acre,Fevereiro,0.0,2005-01-01,AC,-9.49865,-69.629581
2006,Acre,Fevereiro,0.0,2006-01-01,AC,-9.49865,-69.629581
2007,Acre,Fevereiro,5.0,2007-01-01,AC,-9.49865,-69.629581
2008,Acre,Fevereiro,0.0,2008-01-01,AC,-9.49865,-69.629581
2009,Acre,Fevereiro,2.0,2009-01-01,AC,-9.49865,-69.629581
2010,Acre,Fevereiro,0.0,2010-01-01,AC,-9.49865,-69.629581
2011,Acre,Fevereiro,0.0,2011-01-01,AC,-9.49865,-69.629581
2012,Acre,Fevereiro,0.0,2012-01-01,AC,-9.49865,-69.629581
2013,Acre,Fevereiro,0.0,2013-01-01,AC,-9.49865,-69.629581
2014,Acre,Fevereiro,0.0,2014-01-01,AC,-9.49865,-69.629581
2015,Acre,Fevereiro,2.0,2015-01-01,AC,-9.49865,-69.629581
2016,Acre,Fevereiro,5.0,2016-01-01,AC,-9.49865,-69.629581
2017,Acre,Fevereiro,1.0,2017-01-01,AC,-9.49865,-69.629581
1998,Acre,Março,0.0,1998-01-01,AC,-9.49865,-69.629581
1999,Acre,Março,0.0,1999-01-01,AC,-9.49865,-69.629581
2000,Acre,Março,11.0,2000-01-01,AC,-9.49865,-69.629581
2001,Acre,Março,0.0,2001-01-01,AC,-9.49865,-69.629581
2002,Acre,Março,0.0,2002-01-01,AC,-9.49865,-69.629581
2003,Acre,Março,0.0,2003-01-01,AC,-9.49865,-69.629581
2004,Acre,Março,0.0,2004-01-01,AC,-9.49865,-69.629581
2005,Acre,Março,3.0,2005-01-01,AC,-9.49865,-69.629581
2006,Acre,Março,0.0,2006-01-01,AC,-9.49865,-69.629581
2007,Acre,Março,2.0,2007-01-01,AC,-9.49865,-69.629581
2008,Acre,Março,0.0,2008-01-01,AC,-9.49865,-69.629581
2009,Acre,Março,1.0,2009-01-01,AC,-9.49865,-69.629581
2010,Acre,Março,0.0,2010-01-01,AC,-9.49865,-69.629581
2011,Acre,Março,0.0,2011-01-01,AC,-9.49865,-69.629581
2012,Acre,Março,1.0,2012-01-01,AC,-9.49865,-69.629581
2013,Acre,Março,2.0,2013-01-01,AC,-9.49865,-69.629581
2014,Acre,Março,1.0,2014-01-01,AC,-9.49865,-69.629581
2015,Acre,Março,2.0,2015-01-01,AC,-9.49865,-69.629581
2016,Acre,Março,0.0,2016-01-01,AC,-9.49865,-69.629581
2017,Acre,Março,0.0,2017-01-01,AC,-9.49865,-69.629581
1998,Acre,Abril,0.0,1998-01-01,AC,-9.49865,-69.629581
1999,Acre,Abril,0.0,1999-01-01,AC,-9.49865,-69.629581
2000,Acre,Abril,1.0,2000-01-01,AC,-9.49865,-69.629581
2001,Acre,Abril,0.0,2001-01-01,AC,-9.49865,-69.629581
2002,Acre,Abril,0.0,2002-01-01,AC,-9.49865,-69.629581
2003,Acre,Abril,1.0,2003-01-01,AC,-9.49865,-69.629581
2004,Acre,Abril,2.0,2004-01-01,AC,-9.49865,-69.629581
2005,Acre,Abril,1.0,2005-01-01,AC,-9.49865,-69.629581
2006,Acre,Abril,0.0,2006-01-01,AC,-9.49865,-69.629581
2007,Acre,Abril,0.0,2007-01-01,AC,-9.49865,-69.629581
2008,Acre,Abril,0.0,2008-01-01,AC,-9.49865,-69.629581
2009,Acre,Abril,0.0,2009-01-01,AC,-9.49865,-69.629581
2010,Acre,Abril,3.0,2010-01-01,AC,-9.49865,-69.629581
2011,Acre,Abril,2.0,2011-01-01,AC,-9.49865,-69.629581
2012,Acre,Abril,1.0,2012-01-01,AC,-9.49865,-69.629581
2013,Acre,Abril,19.0,2013-01-01,AC,-9.49865,-69.629581
2014,Acre,Abril,7.0,2014-01-01,AC,-9.49865,-69.629581
2015,Acre,Abril,3.0,2015-01-01,AC,-9.49865,-69.629581
2016,Acre,Abril,0.0,2016-01-01,AC,-9.49865,-69.629581
2017,Acre,Abril,1.0,2017-01-01,AC,-9.49865,-69.629581
1998,Acre,Maio,0.0,1998-01-01,AC,-9.49865,-69.629581
1999,Acre,Maio,0.0,1999-01-01,AC,-9.49865,-69.629581
2000,Acre,Maio,1.0,2000-01-01,AC,-9.49865,-69.629581
2001,Acre,Maio,0.0,2001-01-01,AC,-9.49865,-69.629581
2002,Acre,Maio,0.0,2002-01-01,AC,-9.49865,-69.629581
2003,Acre,Maio,6.0,2003-01-01,AC,-9.49865,-69.629581
